service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20260324,20260614
Daily-2,1,1,1,1,1,1,1,20260324,20260614
Daily-3,1,1,1,1,1,1,1,20260401,20260614
ExSat-1,1,1,1,1,1,0,1,20260324,20260614
ExSun-1,1,1,1,1,1,1,0,20260324,20260614
ExSun-2,1,1,1,1,1,1,0,20260324,20260614
FriSat-1,0,0,0,0,1,1,0,20260324,20260614
FriSat-2,0,0,0,0,1,1,0,20260401,20260614
FriSatSun-1,0,0,0,0,1,1,1,20260401,20260614
Friday-1,0,0,0,0,1,0,0,20260324,20260614
Friday-2,0,0,0,0,1,0,0,20260324,20260614
Friday-3,0,0,0,0,1,0,0,20260324,20260614
Friday-4,0,0,0,0,1,0,0,20260324,20260614
Monday-1,1,0,0,0,0,0,0,20260324,20260331
Other-1,0,0,0,0,0,0,0,20260324,20260614
Other-10,0,0,0,0,0,0,0,20260324,20260614
Other-11,0,0,0,0,0,0,0,20260324,20260614
Other-12,0,0,0,0,0,0,0,20260324,20260614
Other-13,0,0,0,0,0,0,0,20260324,20260614
Other-14,0,0,0,0,0,0,0,20260324,20260614
Other-15,0,0,0,0,0,0,0,20260324,20260614
Other-16,0,0,0,0,0,0,0,20260324,20260614
Other-17,0,0,0,0,0,0,0,20260324,20260614
Other-18,0,0,0,0,0,0,0,20260324,20260614
Other-19,0,0,0,0,0,0,0,20260324,20260614
Other-2,0,0,0,0,0,0,0,20260324,20260614
Other-20,0,0,0,0,0,0,0,20260324,20260614
Other-21,0,0,0,0,0,0,0,20260324,20260614
Other-22,0,0,0,0,0,0,0,20260324,20260614
Other-23,0,0,0,0,0,0,0,20260324,20260614
Other-24,0,0,0,0,0,0,0,20260324,20260614
Other-25,0,0,0,0,0,0,0,20260324,20260614
Other-26,0,0,0,0,0,0,0,20260324,20260614
Other-27,0,0,0,0,0,0,0,20260324,20260614
Other-28,0,0,0,0,0,0,0,20260324,20260614
Other-29,0,0,0,0,0,0,0,20260324,20260614
Other-3,0,0,0,0,0,0,0,20260324,20260614
Other-30,0,0,0,0,0,0,0,20260324,20260614
Other-31,0,0,0,0,0,0,0,20260324,20260614
Other-32,0,0,0,0,0,0,0,20260324,20260614
Other-33,0,0,0,0,0,0,0,20260324,20260614
Other-34,0,0,0,0,0,0,0,20260324,20260614
Other-35,0,0,0,0,0,0,0,20260324,20260614
Other-36,0,0,0,0,0,0,0,20260324,20260614
Other-37,0,0,0,0,0,0,0,20260324,20260614
Other-38,0,0,0,0,0,0,0,20260324,20260614
Other-39,0,0,0,0,0,0,0,20260324,20260614
Other-4,0,0,0,0,0,0,0,20260324,20260614
Other-40,0,0,0,0,0,0,0,20260324,20260614
Other-41,0,0,0,0,0,0,0,20260324,20260614
Other-42,0,0,0,0,0,0,0,20260324,20260614
Other-43,0,0,0,0,0,0,0,20260324,20260614
Other-44,0,0,0,0,0,0,0,20260324,20260614
Other-45,0,0,0,0,0,0,0,20260324,20260614
Other-46,0,0,0,0,0,0,0,20260401,20260614
Other-47,0,0,0,0,0,0,0,20260401,20260614
Other-48,0,0,0,0,0,0,0,20260401,20260614
Other-49,0,0,0,0,0,0,0,20260401,20260614
Other-5,0,0,0,0,0,0,0,20260324,20260614
Other-6,0,0,0,0,0,0,0,20260324,20260614
Other-7,0,0,0,0,0,0,0,20260324,20260614
Other-8,0,0,0,0,0,0,0,20260324,20260614
Other-9,0,0,0,0,0,0,0,20260324,20260614
Saturday-1,0,0,0,0,0,1,0,20260324,20260614
Saturday-10,0,0,0,0,0,1,0,20260401,20260614
Saturday-2,0,0,0,0,0,1,0,20260324,20260614
Saturday-3,0,0,0,0,0,1,0,20260324,20260614
Saturday-4,0,0,0,0,0,1,0,20260324,20260614
Saturday-5,0,0,0,0,0,1,0,20260324,20260331
Saturday-6,0,0,0,0,0,1,0,20260324,20260614
Saturday-7,0,0,0,0,0,1,0,20260401,20260614
Saturday-8,0,0,0,0,0,1,0,20260401,20260614
Saturday-9,0,0,0,0,0,1,0,20260401,20260614
Sunday-1,0,0,0,0,0,0,1,20260324,20260614
Sunday-2,0,0,0,0,0,0,1,20260324,20260614
Sunday-3,0,0,0,0,0,0,1,20260324,20260614
Sunday-4,0,0,0,0,0,0,1,20260324,20260614
Sunday-5,0,0,0,0,0,0,1,20260324,20260614
Sunday-6,0,0,0,0,0,0,1,20260324,20260614
Sunday-7,0,0,0,0,0,0,1,20260401,20260614
Thursday-1,0,0,0,1,0,0,0,20260324,20260614
Thursday-2,0,0,0,1,0,0,0,20260324,20260614
Tuesday-1,0,1,0,0,0,0,0,20260324,20260614
Wednesday-1,0,0,1,0,0,0,0,20260324,20260614
Wednesday-2,0,0,1,0,0,0,0,20260324,20260614
Wednesday-3,0,0,1,0,0,0,0,20260324,20260614
Wednesday-4,0,0,1,0,0,0,0,20260401,20260614
Weekday-1,1,1,1,1,1,0,0,20260324,20260614
Weekday-10,1,1,1,1,1,0,0,20260401,20260614
Weekday-2,1,1,1,1,1,0,0,20260324,20260614
Weekday-3,1,1,1,1,1,0,0,20260324,20260614
Weekday-4,1,1,1,1,1,0,0,20260324,20260614
Weekday-5,1,1,1,1,1,0,0,20260324,20260614
Weekday-6,1,1,1,1,1,0,0,20260324,20260614
Weekday-7,1,1,1,1,1,0,0,20260324,20260614
Weekday-8,1,1,1,1,1,0,0,20260324,20260614
Weekday-9,1,1,1,1,1,0,0,20260324,20260614
Weekend-1,0,0,0,0,0,1,1,20260324,20260614
Weekend-2,0,0,0,0,0,1,1,20260324,20260614
Weekend-3,0,0,0,0,0,1,1,20260324,20260331
Weekend-4,0,0,0,0,0,1,1,20260401,20260614
WkExFri-1,1,1,1,1,0,0,0,20260324,20260614
WkExFri-2,1,1,1,1,0,0,0,20260324,20260614
WkExFri-3,1,1,1,1,0,0,0,20260324,20260614
WkExMon-1,0,1,1,1,1,0,0,20260324,20260614
WkExMon-2,0,1,1,1,1,0,0,20260324,20260614
WkExMon-3,0,1,1,1,1,0,0,20260324,20260614
WkExMon-4,0,1,1,1,1,0,0,20260324,20260614
WkExTues-1,1,0,1,1,1,0,0,20260324,20260614
WkExTues-2,1,0,1,1,1,0,0,20260324,20260614
WkExTues-3,1,0,1,1,1,0,0,20260324,20260614
WkExWed-1,1,1,0,1,1,0,0,20260324,20260614
